d, d/ATT
20, 0.143
40, 0.010
60, 0.007
80, 0.006
100, 0.006
120, 0.006
140, 0.006
160, 0.005
180, 0.005
200, 0.005
220, 0.005
240, 0.005
260, 0.005
280, 0.005
300, 0.005
320, 0.005
340, 0.005
360, 0.005
380, 0.005
400, 0.005
420, 0.005
440, 0.005
460, 0.005
480, 0.005
500, 0.005
